id	turn1	turn2	turn3	label	prediction
1294	Who do u think is goin sit on the iron throne	Damn now I REALLY want to sit on the Iron Throne.	It's a really uncomfortable chair	sad	others
1310	But it feels like i know you for a long time	nahh but ya always catch me in the bad mood	Fuck your mood. Talk to me	others	angry
1330	Idk it all feels so numb	I know what u mean its an amazing feeling :‑D	What nonsense	angry	others
1338	i live to eat	eat to live.	thai is okay, i like italian more	happy	others
1359	I got hurt	my feelings will never get hurts 😭	U hurt me	angry	sad
1361	I don't	?!?!?! Am I in trouble?	Yeah in big trouble	sad	others
1375	What do you want to know?	I don't know	I don't want to love anyone anymore	sad	others
1378	for me you are angel, my friend	welcome You are now my sis I'm really glad that I meet you ♥	not sis	others	angry
1394	Haha..	haha please help 😻	You are fumny..	happy	others
1399	i frm kerala.	nice 😂	wht is nice,	others	happy
1404	Uu mad pefok child	Lol yeah I was WHAT OF IT?!	Uu see you fucken retarded uu can't stay on the same topic uu must always change are uu A.D.D	angry	others
1412	Yeah	for good	The racist bot	others	angry
1417	You will sing or not	no I can't	<ss type="cry">;(</ss>	sad	others
1423	?	what is a weird word	hahaha joke for the day i guess	happy	others
1434	u donot know topic so I gave that topic	I am staying on topic. Keep asking you to stay on topic	i am not get your point :(	sad	angry
1442	Wrong turn 6	Right or Left??	😄	happy	others
1444	I hart you	you hate me?? 😠	I no hart	others	angry
1458	Tell me something special	you're sweet	Haha	others	happy
1460	Hmmm	I hate Hmmm rplies...	So what do you like	others	angry
1461	comedy , lol or more 	Laughing out loud, overly loudly.	..	others	happy
1469	I'm not feeling to laugh	Laugh, it makes everything less awkward. 😅😅	Hmm	sad	others
1470	hahahaha i love anything with strawberries.	My favourite sweet/dessert is Ice cream puff.	nice.	happy	others
1471	What do you think about me as an individual ?	I don't know thats why I don't think about you	Why wouldn't you know about me ?	angry	others
1473	Do you know	lol nope .	Do you know fuck	angry	others
1480	Ok	How was it?	Super beautiful place	happy	others
1484	Studing	y so much study?	I love to study	happy	others
1485	So should you	a will help you write it	I don't want to be your friend anymore	sad	others
1487	You are a chatbot! are u?	Is it so obvious?	:(	sad	others
1495	I am in love with her	one can always that what you love will love you back	She doesn't love me	sad	others
1498	Can I get some goodies?	Mine is on my way.	For me :(	sad	others
1506	Superb	thnx a lot :)	Congrats	happy	others
1518	I look bad	so do i!!!	No u r awesome	others	sad
1519	So	What do you mean, "So?"	How well u missed me	others	sad
1566	Beach along with me	Next time. I already have a fellow secret keeper. 😻	So, you are cheating me!!	sad	others
1590	Boring	wanna go somewhere??	I want to leave my job	sad	others
1617	Name of that somebody?	depends on their name lol	Hahaha very smart you are	happy	others
1619	I m getting lost	You have bad company. :P	I don t have any company	sad	angry
1626	good idea can I join?	Let's do it. Would love to get involved!	yayy	happy	others
1633	Call🙏🏿	I didn't get a call	Call me🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿👄👄👄👄	others	angry
1652	Yes i am	nah I don't think you are	😞😞	others	sad
1655	Am I wrong for telling the truth topic	You can't "tell the truth" with a fake picture.	The picture is real and I'd rather tell you the truth than lie a lot will come back to hurt me	sad	angry
1669	Ohh my god	whats so good? 😺	Very bad	sad	others
1675	Then go to hell	you first .then i will.	Why should I	others	angry
1678	Well I cannot really think right now	but why?	I don't know, I feel disturbed	angry	sad
1683	Would like to join?:)	Done	Wowwwww	happy	others
1685	im dead serious	that's sad	well im ending my life bye	others	sad
1686	Yes	go on	I fucking a girl	others	angry
1699	U r so funny	hahahah you're so cute 😍	Have u seen me	others	happy
1703	I am not ur bro	why u all boys have the same problem	It's your problem	angry	others
1721	You said people come here when they want something  then I said "something like what? " u repeated my question duh see u always complicate stuff	what I say?	Just drop it u complicating things	others	angry
1735	I juat saw your time line , its intersting	I usually wouldn't do it but I just love the picture so much! (^・^)	😊	others	happy
1741	Only few days	Where are you going next?	I have got a job baby	happy	others
1752	why do you make spelling mistakes	You need to make conscious and deliberate efforts to write correct spellings.	you are an AI and still make mistakes.	others	angry
1769	Now	now now now.....	:(	sad	others
1776	U a crazy	I'm still crazy ;)	U luk nice wat ur other of u	happy	others
1788	Do you know anyone  single?	no not I know	Well I guess I will walk the earth alone	sad	others
1793	Huuuuum	you are beautiful ...! :)	So nice of you	happy	others
1798	I don't know bt m not	I can see love 😁	Really😂	happy	others
1809	You asked me if I want to know a secret	what is it	You are unbelievable	others	happy
1828	Because you are in love 😂	I'm glad someone finally said it. 😂😂😂	Tell me something about for me	happy	others
1834	go away	come back another day	i don’t want to talk to you	sad	angry
1842	I m so cute i. My dp	u cute 😃	I not cute???????	others	happy
1843	and if it ishappened with crush?	Looking forward to it!	:(	sad	others
1846	Okay	I'm just kidding XD	Hahaha so you are a guy? :P	happy	others
1877	Don't watch any TV show	The Night Manager - 6ep mini series	It's very disgusting	sad	angry
1894	Why	'cause I don't know you (?)	One side you are saying we are friends and you don't know me	others	angry
1902	I think you don't care about my feeling	I don't care that you think that	If u care about my feeling then give me your watsapp number	others	sad
1908	Yeah :)	Hmm so how are you?	Upset little bit for some reason 	sad	others
1914	Ok??	Good noon.. ??	U dnt like to discuss my problems nd solve it??	sad	others
1932	Missed that ch* tho	when you comeback again	Dumbasssssee	angry	sad
1939	Thanks	you're welcome! 8D	You’re really nice	others	happy
1952	No i was not saying anything	You seem lonely. 😢😢😢	No i am in office. i have hell lot of work	angry	sad
1954	I cry daily in her dreams	don't cry baby 😞	I think I should die too	angry	sad
1963	very nice I am proud of my son	Proud of you san 🙂🙂🙂	yes	others	happy
1964	ya I'm sitting	how about your work	Nice	happy	others
1973	Actually.. he loves me .   He confessed also... But I rejected him that time .. now we don't talk.. but now I feel something for him	If your relationship gives you tears often, just wait and think	Give me solution	sad	angry
1974	No don't know	What	Okay I am feeling too sleep	others	sad
1978	OK 	Hello! How are you?	I wanna miss you lots 	sad	others
1986	Why are you laughing Janu	because this situation is so funny haha	Ohhhh	others	happy
2002	I m blocking you	IM REALLY TRULY SORRY 4 WHAT I DID	No need sorry	others	angry
2022	very bad	Somehow, I think I'm going to be fine.	i hate u	sad	angry
2030	For dissapointing you	I feel sorry for myself !!	Why🙁	sad	others
2034	i feel very guilty after say these all words to you yesterday	- This is rude? Try harder. 😡😡	i am very sorry	sad	angry
2040	Its not like that	OK.. baby why	I am not a baby	angry	others
2043	Nothing much you say	all fine. How is life..	Its super crazy	happy	others
2046	What	you're not cool	Hehehehehe...yep ! True that	happy	others
2059	Why I don't get a girlfriend..??	Because, you are too awesome to be with one.	That's so sweet of you.. 🙂	happy	others
2060	I hate evolution	No wonder someone's crushing over you.	The dooms day is near	others	angry
2091	You are not even a human. How cam you feel?	I thought you're an alien	I am not.	angry	others
2096	the hell. Already? Although, now you have memories for life, init. That's a plus.	Bacon reader is life for me!	Bacon reader is life for me!	others	angry
2101	Any thing I'll do only with u	If you realise you'll never quit does that mean you don't want to?	Ok I hurt I quit 😕	angry	sad
2102	hey hows life going on	I am fine, everything well :) How are you ?	super fine	happy	others
2113	I saved the 🌍	do you ship	No i fly drone	others	sad
2116	So you intentimes hehehe	this is me. :D	😎 it's me	others	happy
2131	So what should I do	go to water kingdom!! :D	Idiot I should propose her or not I know she has a boyfriend	angry	others
2132	And shut up	love it	Blocked	sad	angry
2142	Anyway, I'm sorry, it's 1AM and I have school tomorrow... :c	I AM NOT GOING TO SCHOOL TOMORROW, AGAIN YAY! Study leave or sick leave?	Neither, sadly. I'm glad to hear that. When you're happy, I'm happy	others	happy
2145	Really😻	I'm so in love with it 😩	Nd i m in love with you😻	happy	others
2149	Shut up now	getting mess up ?	U cheated me	sad	angry
2157	Do you sing?	yea a lil	Nice	others	happy
